Date	logreturn
25-Jul-94	0.7617
1-Aug-94	-0.4844
8-Aug-94	1.7845
15-Aug-94	1.4681
22-Aug-94	2.7251
29-Aug-94	-0.4875
6-Sep-94	0.5910
12-Sep-94	1.8397
19-Sep-94	-2.6640
26-Sep-94	0.8977
3-Oct-94	-1.8927
10-Oct-94	2.2571
17-Oct-94	-0.2219
24-Oct-94	1.3973
31-Oct-94	-1.3059
7-Nov-94	-0.5183
14-Nov-94	0.3340
21-Nov-94	-2.9395
28-Nov-94	0.3361
5-Dec-94	-3.5480
12-Dec-94	1.3839
19-Dec-94	1.7836
27-Dec-94	1.3078
3-Jan-95	-0.3023
9-Jan-95	1.6497
16-Jan-95	-0.0144
23-Jan-95	-0.4129
30-Jan-95	1.7179
6-Feb-95	2.3515
13-Feb-95	-0.4387
21-Feb-95	0.5209
27-Feb-95	0.9699
6-Mar-95	0.4285
13-Mar-95	0.7588
20-Mar-95	1.2698
27-Mar-95	-0.1773
3-Apr-95	-0.3088
10-Apr-95	2.1794
17-Apr-95	-1.1111
24-Apr-95	2.4638
1-May-95	-0.0533
8-May-95	1.8104
15-May-95	0.6533
22-May-95	0.8408
30-May-95	0.1261
5-Jun-95	1.2986
12-Jun-95	2.7073
19-Jun-95	3.2717
26-Jun-95	-0.5790
3-Jul-95	3.8161
10-Jul-95	3.0036
17-Jul-95	-3.8310
24-Jul-95	4.4246
31-Jul-95	-1.4216
7-Aug-95	1.3052
14-Aug-95	2.6699
21-Aug-95	-1.1028
28-Aug-95	-0.0490
5-Sep-95	3.9014
11-Sep-95	-0.8460
18-Sep-95	0.2176
25-Sep-95	-0.9395
2-Oct-95	-3.0651
9-Oct-95	0.6245
16-Oct-95	2.0556
23-Oct-95	-1.3540
30-Oct-95	3.8365
6-Nov-95	-0.1681
13-Nov-95	-1.7868
20-Nov-95	-1.4322
27-Nov-95	2.4111
4-Dec-95	0.6705
11-Dec-95	-3.0515
18-Dec-95	1.5799
26-Dec-95	0.4993
2-Jan-96	-1.7895
8-Jan-96	-2.4726
15-Jan-96	1.0086
22-Jan-96	2.1862
